Year,Crime Type,States/UTs,Total # FIR,Total # Final Report,FR Non-Cognizable,FR False,Mistake of Fact / Law / Civil Dispute,True but insufficient evidence,Cases Abated,Total # Charge Sheeted,Total # Cases Disposed Off by Police
2018,IPC+SLL,Maharashtra,515674,119455,1473,1992,10089,103868,2033,369679,489356
2018,IPC+SLL,Manipur,3781,4872,63,32,118,4659,0,795,5667
2018,IPC+SLL,Meghalaya,3482,1491,1,4,58,1424,4,1089,2584
2018,IPC+SLL,Mizoram,2351,228,0,2,1,223,2,2110,2338
2018,IPC+SLL,Nagaland,1775,517,0,3,13,494,7,1204,1721
2018,IPC+SLL,Odisha,107408,13654,9,904,8692,3887,162,90088,103742
2018,IPC+SLL,Punjab,70318,15272,0,4179,1767,9285,41,55209,70483
2018,IPC+SLL,Rajasthan,250546,84631,519,29245,21907,32904,56,163974,248701
2018,IPC+SLL,Sikkim,869,225,1,0,34,188,2,539,768
2018,IPC+SLL,Tamil Nadu,499188,30747,0,303,13211,16052,1181,458088,489453
2018,IPC+SLL,Telangana,126858,22827,0,3284,4486,13831,1226,95459,120203
2018,IPC+SLL,Tripura,6078,1438,13,87,535,803,0,3393,4831
2018,IPC+SLL,Uttar Pradesh,585157,159424,3293,7502,19777,128512,340,427175,587098
2018,IPC+SLL,Uttarakhand,34715,3932,3,309,16,3325,279,25522,29466
2018,IPC+SLL,West Bengal,188063,26691,103,670,7120,18798,0,167166,198826
2018,IPC+SLL,A&N Islands,3699,145,7,2,34,102,0,3677,3822
2018,IPC+SLL,Chandigarh,5967,1148,0,0,244,900,4,4809,5957
2018,IPC+SLL,D&N Haveli,315,72,0,1,15,52,4,267,339
2018,IPC+SLL,Daman & Diu,334,112,1,2,24,77,8,256,368
2018,IPC+SLL,Delhi,262612,227256,0,0,20453,206229,574,66448,293844
2018,IPC+SLL,Lakshadweep,77,0,0,0,0,0,0,53,53
2018,IPC+SLL,Puducherry,4674,82,0,0,46,36,0,3512,3594
